"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
47,"ours_rs_joint",TRUE,-4063.00994351929,NA,TRUE,7,0.0874863036664617,0.151962292027793,0.0780748359519457,398.264080047607,NA
48,"gamlss",TRUE,-4514.22731944621,21.0000000324749,TRUE,4,0.0694236444900698,0.138999068196162,NA,0.8194580078125,NA
48,"ours_rs_joint",TRUE,-4054.8253924427,NA,TRUE,8,0.048187483092092,0.0932533180174246,0.0712396309994569,521.801687955856,NA
49,"gamlss",TRUE,-4416.83172337826,21.000000037585,TRUE,5,0.0746196386628594,0.108819605314024,NA,1.31679892539978,NA
49,"ours_rs_joint",TRUE,-4014.87598895009,NA,TRUE,6,0.0636695986511563,0.0507593808054774,0.026338052597116,376.030067920685,NA
50,"gamlss",TRUE,-4331.47292446906,21.0000032440285,TRUE,3,0.0963187045099443,0.126336150575181,NA,0.621348857879639,NA
50,"ours_rs_joint",TRUE,-3959.8128753563,NA,TRUE,8,0.0930985365414202,0.0394654559335852,0.0427033478566693,418.679910898209,NA
51,"gamlss",TRUE,-4397.79599912559,21.0000371658791,TRUE,4,0.0894087179058771,0.213416553392772,NA,1.17296504974365,NA
51,"ours_rs_joint",TRUE,-4002.50435416535,NA,TRUE,5,0.0754161255268506,0.182661299826602,0.080289939647284,384.658499956131,NA
52,"gamlss",TRUE,-4472.35970447295,21.0000000496651,TRUE,5,0.0556252365218217,0.278231644200418,NA,4.05964708328247,NA
52,"ours_rs_joint",TRUE,-4068.61082950267,NA,TRUE,8,0.056598802207404,0.23067911832233,0.103554115128755,532.317839860916,NA
53,"gamlss",TRUE,-4254.85002419887,21.0000084403471,TRUE,4,0.0921549996851889,0.247559410258108,NA,1.40016102790833,NA
53,"ours_rs_joint",TRUE,-3909.92560750148,NA,TRUE,6,0.0897619820299893,0.163196399646825,0.0574986292287778,439.083858966827,NA
54,"gamlss",TRUE,-4328.58429303265,21.0000000412294,TRUE,4,0.0879003757390179,0.160846880086864,NA,0.627909898757935,NA
54,"ours_rs_joint",TRUE,-3898.68172128626,NA,TRUE,6,0.0719394181411692,0.0956346313923147,0.0820785997967153,446.218384027481,NA
55,"gamlss",TRUE,-4511.97283489105,21.0000000570867,TRUE,4,0.0778655663662224,0.118688187026496,NA,0.681091785430908,NA
55,"ours_rs_joint",TRUE,-4150.45406879412,NA,TRUE,5,0.063697020168677,0.103052800835096,0.0465965612547428,366.332249879837,NA
56,"gamlss",TRUE,-4480.045056185,21.0000160654522,TRUE,8,0.0583719911082753,0.35842084548601,NA,4.12737202644348,NA
56,"ours_rs_joint",TRUE,-4098.94108593449,NA,TRUE,8,0.036452119356559,0.200760776755088,0.068907293579959,507.882160902023,NA
57,"gamlss",TRUE,-4420.70108629125,21.0000030237131,TRUE,5,0.069666473794369,0.181912183728947,NA,0.785538911819458,NA
57,"ours_rs_joint",TRUE,-4015.30897244744,NA,TRUE,5,0.0393593862135307,0.101177082436363,0.0236179722181104,388.06675195694,NA
58,"gamlss",TRUE,-4434.42599884643,21.0000050785764,TRUE,4,0.0699064825527012,0.111200415921828,NA,0.805309057235718,NA
58,"ours_rs_joint",TRUE,-4026.63604997822,NA,TRUE,9,0.0558881689684597,0.102158166702402,0.0333657910180982,418.939888000488,NA
59,"gamlss",TRUE,-4397.28887075063,21.0000000654693,TRUE,4,0.0555568846042166,0.122709863753361,NA,0.647043943405151,NA
59,"ours_rs_joint",TRUE,-3971.54741310255,NA,TRUE,6,0.033390875761768,0.108531328167663,0.0557913336296866,404.94295501709,NA
60,"gamlss",TRUE,-4444.94511736542,21.0000141293679,TRUE,4,0.0947371742246618,0.204261569803966,NA,0.822844982147217,NA
60,"ours_rs_joint",TRUE,-4020.45820749999,NA,TRUE,9,0.0747597280117948,0.128518404258691,0.0462528156832697,431.577366828918,NA
61,"gamlss",TRUE,-4499.72650599823,21.0000001327254,TRUE,4,0.0763433323652032,0.143462446353365,NA,0.636368989944458,NA
61,"ours_rs_joint",TRUE,-4089.25504942579,NA,TRUE,9,0.0739660860479829,0.105621322800111,0.0707723017172081,390.072592973709,NA
62,"gamlss",TRUE,-4487.33997943149,21.0000000689718,TRUE,5,0.100130107729436,0.158832913216032,NA,1.19248104095459,NA
62,"ours_rs_joint",TRUE,-4077.45821789619,NA,TRUE,8,0.0930994213757328,0.12807858911701,0.069944569117862,372.885792016983,NA
63,"gamlss",TRUE,-4435.82298617124,21.000043832161,TRUE,4,0.0523648082168221,0.184604190825765,NA,3.19897413253784,NA
63,"ours_rs_joint",TRUE,-4030.62034812818,NA,TRUE,7,0.0285080516631284,0.091258934207403,0.0252550673929041,317.761141061783,NA
64,"gamlss",TRUE,-4393.95875302499,21.0000000374373,TRUE,5,0.0524136303114772,0.234379445185945,NA,3.26617479324341,NA
64,"ours_rs_joint",TRUE,-4052.61877016875,NA,TRUE,1,0.0404828453616913,0.214800533194562,0.0795724285671215,225.041825771332,NA
