"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,42,"gamlss",-4450.37466102752,-4450.37466102752,0,-2.22518733051376,100,11560.8282116,2
"n500_d4_nbi_signal2",500,4,42,"ours_rs_joint",-4233.55028729989,-4874.63056633116,641.080279031265,-2.11677514364994,100,4.17029860450087,0.5
"n500_d4_nbi_signal2",500,4,42,"ours_rs_joint",-4233.55028729989,-4874.63056633116,641.080279031265,-2.11677514364994,100,9745.6260694,2
"n500_d4_nbi_signal2",500,4,43,"gamlss",-4525.17789858649,-4525.17789858649,0,-2.26258894929325,100,4.84672358170112,0.5
"n500_d4_nbi_signal2",500,4,43,"gamlss",-4525.17789858649,-4525.17789858649,0,-2.26258894929325,100,14865.0970972,2
"n500_d4_nbi_signal2",500,4,43,"ours_rs_joint",-4366.0103614071,-5082.79113328618,716.780771879074,-2.18300518070355,100,4.13253099825788,0.5
"n500_d4_nbi_signal2",500,4,43,"ours_rs_joint",-4366.0103614071,-5082.79113328618,716.780771879074,-2.18300518070355,100,11774.4201048,2
"n500_d4_nbi_signal2",500,4,44,"gamlss",-4500.85798763228,-4500.85798763228,0,-2.25042899381614,100,5.10354222646883,0.5
"n500_d4_nbi_signal2",500,4,44,"gamlss",-4500.85798763228,-4500.85798763228,0,-2.25042899381614,100,8256.509059,2
"n500_d4_nbi_signal2",500,4,44,"ours_rs_joint",-4286.76473972061,-4895.74953014617,608.984790425557,-2.14338236986031,100,4.12376879664098,0.5
"n500_d4_nbi_signal2",500,4,44,"ours_rs_joint",-4286.76473972061,-4895.74953014617,608.984790425557,-2.14338236986031,100,5121.8336762,2
"n500_d4_nbi_signal2",500,4,45,"gamlss",-4543.38683666579,-4543.38683666579,0,-2.2716934183329,100,4.88912838466359,0.5
