"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0513615051750094,0.108455702353816,0.199906129779675
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0545736351050436,0.125693973015714,0.210397197366178
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0547893433831632,0.126843724986404,0.211099066033703
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0604955668095499,0.156892250541844,0.229538126617883
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0631844103336334,0.170802600691304,0.238137363252705
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0650689201429486,0.180454919476594,0.244128214282635
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0674179755151272,0.192373290104636,0.251552836672352
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0679471346084028,0.195040568062715,0.253218602470069
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.069044697098434,0.200552260661479,0.256665625908874
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0691914369817823,0.201287031163316,0.257125650033431
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0737953009083867,0.224083083165315,0.271456583670758
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0753408679738641,0.231623056598097,0.276222079563826
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0784837785176933,0.246777607109713,0.285839307705625
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0796441943384707,0.252311981634545,0.289364686236509
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint","mu",0.0821407248731703,0.264105944038829,0.296901423601392
